대분류,중분류,출처,제품명,식별자
감기·호흡기,종합감기,medications,판콜에스내복액,198900672
감기·호흡기,종합감기,medications,판피린큐액,200700547
감기·호흡기,종합감기,medications,판피린나이트액,202501643
감기·호흡기,종합감기,medications,파워콜에스연질캡슐,201003989
감기·호흡기,종합감기,medications,모드콜에스연질캡슐,201204330
감기·호흡기,종합감기,medications,래피콜콜드연질캡슐,202203017
감기·호흡기,종합감기,medications,테라플루콜드앤코프데이타임건조시럽,201101293
감기·호흡기,종합감기,medications,테라플루콜드앤코프나이트타임건조시럽,201101292
감기·호흡기,종합감기,medications,콜대원콜드큐시럽,202105006
감기·호흡기,종합감기,medications,화이투벤큐플러스연질캡슐,202300071
감기·호흡기,종합감기,medications,타이레놀콜드-에스정,202106954
감기·호흡기,종합감기,medications,콜대원나이트시럽,202302835
감기·호흡기,목·인후,medications,목앤스프레이,201500199
감기·호흡기,목·인후,medications,용각산쿨과립,200101057
감기·호흡기,목·인후,medications,"스트렙실허니앤레몬트로키(플루르비프로펜), 스트렙실오렌지트로키(플루르비프로펜)",200906877
감기·호흡기,목·인후,medications,코푸시럽에스,196900058
감기·호흡기,목·인후,medications,모드코프에스연질캡슐,201204389
감기·호흡기,목·인후,medications,엑스콜코프캡슐,201309853
감기·호흡기,목·인후,medications,화이투벤큐플러스코프연질캡슐,202300008
감기·호흡기,목·인후,medications,콜대원코프큐시럽,202104595
감기·호흡기,목·인후,medications,파워콜코프연질캡슐,201801178
감기·호흡기,코·비염,medications,코메키나캡슐,201706199
감기·호흡기,코·비염,medications,코미정,200100614
감기·호흡기,코·비염,medications,액티피드정,197000053
감기·호흡기,코·비염,medications,코스펜정,200905018
감기·호흡기,코·비염,medications,코앤쿨나잘스프레이,201505113
감기·호흡기,코·비염,medications,오트리빈멘톨0.1%분무제(자일로메타졸린염산염),199806459
감기·호흡기,코·비염,medications,속코정,200401321
감기·호흡기,코·비염,medications,콜대원노즈큐에스시럽,202302925
감기·호흡기,코·비염,medications,모드코에스연질캡슐,201203128
감기·호흡기,코·비염,medications,콘택골드캡슐,200607735
감기·호흡기,코·비염,medications,파워콜노즈큐연질캡슐,202500153
감기·호흡기,코·비염,medications,래피콜노즈연질캡슐,201401826
감기·호흡기,알레르기,medications,지르텍정(세티리진염산염),200610765
감기·호흡기,알레르기,medications,알레그라정120밀리그람(펙소페나딘염산염),199801016
감기·호흡기,알레르기,medications,세노바퀵연질캡슐(세티리진염산염),201906400
감기·호흡기,알레르기,medications,시로제노연질캡슐(세티리진염산염),202000062
감기·호흡기,알레르기,medications,알러샷연질캡슐(세티리진염산염),200906254
감기·호흡기,알레르기,medications,제일알지싹로라연질캡슐(로라타딘),201803206
